Frame,WallSeconds,DeltaMs,CpuInputAndUiMs,CpuCelestialTickMs,CpuEditorAndPanelsMs,CpuSimulationAndInterfaceMs,CpuScenePushMs,CpuRecordAndPresentMs,CpuFrameCapWaitMs,GpuValid,GpuCullMs,GpuRasterMs,GpuHiZMs,GpuResolveMs,GpuKernelMs,GpuShadowMs,GpuRestirMs,GpuPostMs,GpuSkyMs,GpuVolumeMs,ClusterTotal,ClustersVisible,TrianglesDrawn,Fps,ResidentMiB
0,189.5112,0.1036,66.3707,0.0329,167.3822,0.1903,0.1123,235.7168,0.0008,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,9652.51,0.0
1,189.9811,100.0000,0.3541,0.0117,2.5659,0.0513,0.0085,314.7128,0.0022,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,19.98,767.0
2,190.2988,100.0000,0.0702,0.0193,3.1369,0.0845,0.0113,18.7646,0.0013,1,0.1392,18.4609,0.3994,2.1364,240.2542,0.0000,240.2542,1.0033,0.0000,0.0000,2046,1992,223832,14.99,767.0
3,190.3209,22.0949,0.0603,0.0130,3.2028,0.0606,0.0097,112.3458,0.0015,1,0.0909,8.9743,0.0497,0.9173,54.7614,0.0000,54.7614,0.9894,0.0000,0.0000,2046,1992,223832,18.00,767.0
4,190.4366,100.0000,0.1791,0.0164,3.7192,0.0627,0.0102,55.4102,0.0008,1,0.0875,9.5412,0.0504,1.0432,54.3331,0.0000,54.3331,0.7987,0.0000,0.0000,2046,1992,223832,15.52,767.0
5,190.4960,59.4080,0.0702,0.0164,3.4066,0.0864,0.0162,5.3484,0.0008,1,0.0884,9.4845,0.0418,0.9851,44.3920,0.0000,44.3920,0.8072,0.0000,0.0000,2046,1992,223832,15.72,767.0
6,190.5049,8.9501,0.0686,0.0129,3.2537,0.0604,0.0079,53.5485,0.0010,1,0.0958,9.1772,0.0426,1.3148,48.0492,0.0000,48.0492,0.9628,0.0000,0.0000,2046,1992,223832,17.92,767.0
7,190.5619,56.9603,0.0752,0.0176,4.3161,0.1013,0.0105,52.4150,0.0014,1,0.0840,8.8410,0.0410,1.0199,45.4430,0.0000,45.4430,0.8131,0.0000,0.0000,2046,1992,223832,17.88,767.0
8,190.6189,56.9452,0.0778,0.0204,4.0403,0.0943,0.0158,50.5486,0.0012,1,0.0864,8.9168,0.0410,1.1715,42.6968,0.0000,42.6968,0.8191,0.0000,0.0000,2046,1992,223832,17.84,767.0
9,190.6737,54.8064,0.0683,0.0240,3.7256,0.0825,0.0117,53.3985,0.0014,1,0.0842,9.4936,0.0410,1.0668,44.3489,0.0000,44.3489,0.8187,0.0000,0.0000,2046,1992,223832,17.88,767.0
10,190.7310,57.3200,0.0814,0.0184,3.2645,0.0784,0.0128,51.3778,0.0020,1,0.0888,9.1240,0.0424,1.0734,42.5716,0.0000,42.5716,0.8186,0.0000,0.0000,2046,1992,223832,17.84,752.6
11,190.7858,54.8441,0.1085,0.0206,3.6927,0.0714,0.0099,67.7875,0.0016,1,0.0908,9.4677,0.0430,1.1605,42.5764,0.0000,42.5764,0.8249,0.0000,0.0000,2046,1992,223832,17.87,752.6
12,190.8575,71.6995,0.0748,0.0176,4.1749,0.0850,0.0130,87.0651,0.0015,1,0.0865,9.0555,0.0418,1.2067,41.5015,0.0000,41.5015,0.8309,0.0000,0.0000,2046,1992,223832,17.49,752.6
13,190.9490,91.4409,0.0886,0.0218,4.3723,0.1440,0.0185,6.9623,0.0015,1,0.0835,9.2142,0.0420,1.0057,42.4310,0.0000,42.4310,0.8303,0.0000,0.0000,2046,1992,223832,16.78,752.6
14,190.9606,11.6171,0.0822,0.0193,4.4927,0.0973,0.0155,44.7999,0.0015,1,0.0846,8.7874,0.0419,1.0625,42.9746,0.0000,42.9746,0.8359,0.0000,0.0000,2046,1992,223832,17.73,752.6
15,191.0101,49.5172,0.1241,0.0216,4.5167,0.0858,0.0128,48.3200,0.0016,1,0.0811,9.4558,0.0411,0.9518,40.5595,0.0000,40.5595,0.8388,0.0000,0.0000,2046,1992,223832,17.86,752.6
16,191.0632,53.0910,0.0871,0.0197,2.8413,0.0679,0.0133,48.5728,0.0013,1,0.0871,8.8904,0.0431,0.9523,41.6100,0.0000,41.6100,0.8342,0.0000,0.0000,2046,1992,223832,17.92,752.6
17,191.1148,51.6113,0.0655,0.0174,3.4733,0.0846,0.0125,116.1540,0.0012,1,0.0852,8.8732,0.0430,1.2044,43.2156,0.0000,43.2156,0.8294,0.0000,0.0000,2046,1992,223832,17.99,752.6
18,191.2346,100.0000,0.3852,0.0169,3.4876,0.0948,0.0181,4.9359,0.0017,1,0.1042,15.0205,0.0430,1.8701,46.9715,0.0000,46.9715,0.8309,0.0000,0.0000,2046,1992,223832,17.27,752.6
19,191.2436,8.9856,0.0737,0.0186,3.4103,0.0888,0.0117,47.4103,0.0010,1,0.0911,9.7574,0.0420,1.1510,44.0717,0.0000,44.0717,0.8325,0.0000,0.0000,2046,1992,223832,18.03,752.6
20,191.2946,51.0223,0.0834,0.0182,3.1650,0.0841,0.0127,105.5202,0.0017,1,0.0835,8.9967,0.0410,1.0076,42.2940,0.0000,42.2940,0.8324,0.0000,0.0000,2046,1992,223832,18.10,766.6
21,191.4035,100.0000,0.0838,0.0206,4.3267,0.1070,0.0138,5.5533,0.0016,1,0.0910,9.4542,0.0423,1.2698,41.4163,0.0000,41.4163,0.8237,0.0000,0.0000,2046,1992,223832,17.45,766.6
22,191.4136,10.1163,0.0633,0.0188,3.0014,0.1144,0.0141,45.8923,0.0015,1,0.0919,10.2232,0.0412,1.2589,40.0457,0.0000,40.0457,0.8416,0.0000,0.0000,2046,1992,223832,18.10,766.6
23,191.4628,49.1149,0.0817,0.0170,3.4633,0.0863,0.0152,51.2158,0.0013,1,0.0870,9.0304,0.0430,1.0301,43.5299,0.0000,43.5299,0.8318,0.0000,0.0000,2046,1992,223832,18.19,766.6
24,191.5176,54.8884,0.0733,0.0164,2.4875,0.0774,0.0122,54.6910,0.0011,1,0.0834,8.9754,0.0412,0.9860,41.3632,0.0000,41.3632,0.8298,0.0000,0.0000,2046,1992,223832,18.19,766.6
25,191.5750,57.3662,0.0769,0.0171,3.7322,0.0842,0.0112,99.0722,0.0013,1,0.0866,10.2134,0.0431,1.4843,41.0651,0.0000,41.0651,0.8273,0.0000,0.0000,2046,1992,223832,18.16,766.6
26,191.6780,100.0000,0.0764,0.0192,2.8841,0.0913,0.0140,6.6731,0.0014,1,0.0902,9.3929,0.0421,1.1108,40.6500,0.0000,40.6500,0.8254,0.0000,0.0000,2046,1992,223832,17.63,766.6
27,191.6878,9.7670,0.0717,0.0178,3.8153,0.0790,0.0125,43.0087,0.0022,1,0.0920,9.0469,0.0483,1.2039,40.4262,0.0000,40.4262,0.8328,0.0000,0.0000,2046,1992,223832,18.16,766.6
28,191.7348,47.0146,0.0855,0.0186,2.8340,0.0665,0.0108,51.2503,0.0012,1,0.0885,9.3643,0.0410,1.1368,41.1992,0.0000,41.1992,0.8256,0.0000,0.0000,2046,1992,223832,18.25,766.6
29,191.7891,54.2742,0.0696,0.0152,4.1199,0.0816,0.0125,53.6215,0.0012,1,0.0862,9.2849,0.0410,1.1102,43.8714,0.0000,43.8714,0.8263,0.0000,0.0000,2046,1992,223832,18.26,766.6
30,191.8470,57.9295,0.0852,0.0187,4.0824,0.1139,0.0121,47.8529,0.0016,1,0.0857,9.2807,0.0427,1.0248,40.9184,0.0000,40.9184,0.8280,0.0000,0.0000,2046,1992,223832,18.23,784.6
31,191.8992,52.1765,0.0853,0.0210,3.8291,0.0957,0.0139,47.4040,0.0020,1,0.0840,8.6344,0.0416,0.9339,41.6621,0.0000,41.6621,0.8298,0.0000,0.0000,2046,1992,223832,18.25,784.6
32,191.9506,51.4594,0.0796,0.0205,4.4746,0.0818,0.0117,46.4545,0.0013,1,0.0831,8.9134,0.0420,1.0991,40.1666,0.0000,40.1666,0.8241,0.0000,0.0000,2046,1992,223832,18.29,784.6
33,192.0018,51.1313,0.0820,0.0219,4.3618,0.1072,0.0143,52.2309,0.0015,1,0.0868,9.1077,0.0420,1.2100,42.1787,0.0000,42.1787,0.8294,0.0000,0.0000,2046,1992,223832,18.32,784.6
34,192.0586,56.8289,0.0816,0.0203,4.7037,0.0967,0.0131,50.2221,0.0017,1,0.0856,9.3265,0.0422,1.0646,42.1646,0.0000,42.1646,0.8273,0.0000,0.0000,2046,1992,223832,18.30,784.6
35,192.1137,55.1473,0.0735,0.0186,3.3634,0.0611,0.0087,47.6435,0.0013,1,0.0866,9.9428,0.0428,1.1919,40.1941,0.0000,40.1941,0.8293,0.0000,0.0000,2046,1992,223832,18.30,784.6
36,192.1649,51.1791,0.0790,0.0187,3.1943,0.0772,0.0127,51.9697,0.0015,1,0.0900,9.5486,0.0430,1.0432,41.7773,0.0000,41.7773,0.8251,0.0000,0.0000,2046,1992,223832,18.33,784.6
37,192.2203,55.3604,0.0705,0.0181,3.8642,0.0771,0.0111,46.5877,0.0012,1,0.0896,8.8918,0.0416,1.0780,41.2632,0.0000,41.2632,0.8291,0.0000,0.0000,2046,1992,223832,18.32,784.6
38,192.2709,50.6382,0.1280,0.0183,4.5093,0.0819,0.0203,101.2053,0.0019,1,0.0891,9.1309,0.0410,1.2042,41.7003,0.0000,41.7003,0.8262,0.0000,0.0000,2046,1992,223832,18.35,784.6
39,192.3769,100.0000,0.0936,0.0198,4.3815,0.1351,0.0184,5.1505,0.0013,1,0.0816,8.5829,0.0410,1.0609,41.7793,0.0000,41.7793,0.8185,0.0000,0.0000,2046,1992,223832,17.98,795.9
40,192.3867,9.8087,0.0795,0.0194,4.7785,0.1218,0.0177,43.6455,0.0013,1,0.0851,9.6072,0.0414,1.2554,40.6440,0.0000,40.6440,0.8230,0.0000,0.0000,2046,1992,223832,18.35,795.9
41,192.4354,48.6763,0.1597,0.0199,4.4846,0.0847,0.0121,50.7804,0.0021,1,0.0801,8.9696,0.0410,1.0025,41.8195,0.0000,41.8195,0.8212,0.0000,0.0000,2046,1992,223832,18.39,795.9
42,192.4910,55.5522,0.0867,0.0210,4.2870,0.0827,0.0129,47.3340,0.0023,1,0.0897,9.0709,0.0444,1.1629,40.5804,0.0000,40.5804,0.8275,0.0000,0.0000,2046,1992,223832,18.39,795.9
43,192.5428,51.8360,0.1153,0.0200,4.0280,0.0846,0.0163,50.5200,0.0012,1,0.0936,9.3626,0.0430,1.3005,41.2917,0.0000,41.2917,0.8251,0.0000,0.0000,2046,1992,223832,18.40,795.9
44,192.5976,54.7934,0.0728,0.0181,4.8727,0.0724,0.0104,44.1795,0.0016,1,0.0904,8.8401,0.0430,1.3703,41.8823,0.0000,41.8823,0.8244,0.0000,0.0000,2046,1992,223832,18.40,795.9
45,192.6468,49.2360,0.0809,0.0187,2.9986,0.1046,0.0175,52.7409,0.0019,1,0.0914,9.1518,0.0410,1.2561,41.9247,0.0000,41.9247,0.8211,0.0000,0.0000,2046,1992,223832,18.44,795.9
46,192.7028,55.9706,0.1757,0.0189,3.0517,0.0659,0.0107,51.1249,0.0017,1,0.0876,8.6635,0.0433,0.9877,40.5906,0.0000,40.5906,0.8252,0.0000,0.0000,2046,1992,223832,18.43,795.9
47,192.7572,54.4591,0.0857,0.0209,4.8033,0.0822,0.0130,100.9666,0.0017,1,0.0851,9.7362,0.0428,0.9581,40.7486,0.0000,40.7486,0.8241,0.0000,0.0000,2046,1992,223832,18.43,795.9
48,192.8632,100.0000,0.8551,0.0227,4.5686,0.1268,0.0183,6.4392,0.0013,1,0.0841,8.8618,0.0410,1.0303,41.5311,0.0000,41.5311,0.8237,0.0000,0.0000,2046,1992,223832,18.11,795.9
49,192.8753,12.0394,1.0780,0.0175,4.0402,0.0784,0.0111,43.9401,0.0018,1,0.1049,10.4349,0.0419,1.2411,41.4344,0.0000,41.4344,0.8244,0.0000,0.0000,2046,1992,223832,18.40,795.9
50,192.9244,49.1757,0.8072,0.0223,4.4361,0.0853,0.0139,97.5341,0.0012,1,0.0861,9.5922,0.0430,1.1346,41.2193,0.0000,41.2193,0.8232,0.0000,0.0000,2046,1992,223832,18.44,833.4
51,193.0273,100.0000,0.4929,0.0206,4.3527,0.1058,0.0194,5.9311,0.0009,1,0.0855,8.5632,0.0410,0.9994,40.4077,0.0000,40.4077,0.8240,0.0000,0.0000,2046,1992,223832,18.14,833.4
52,193.0383,10.9305,1.3734,0.0167,3.9432,0.0745,0.0134,39.3101,0.0021,1,0.0843,9.4147,0.0413,1.1160,39.9566,0.0000,39.9566,0.8316,0.0000,0.0000,2046,1992,223832,18.42,833.4
53,193.0830,44.7435,0.7348,0.0203,3.5900,0.1006,0.0162,108.4954,0.0011,1,0.0955,11.1394,0.0422,1.3967,43.9168,0.0000,43.9168,0.8197,0.0000,0.0000,2046,1992,223832,18.48,833.4
54,193.1960,100.0000,0.5450,0.0166,2.9609,0.0776,0.0124,6.0317,0.0010,1,0.0988,10.0435,0.0422,1.2452,41.4822,0.0000,41.4822,0.8254,0.0000,0.0000,2046,1992,223832,18.20,833.4
55,193.2056,9.6504,1.8199,0.0144,3.5324,0.0565,0.0095,44.6848,0.0018,1,0.0917,9.7843,0.0435,1.2088,40.3872,0.0000,40.3872,0.8148,0.0000,0.0000,2046,1992,223832,18.47,833.4
56,193.2558,50.1276,0.7019,0.0194,3.9318,0.0764,0.0111,99.1434,0.0024,1,0.0845,9.4847,0.0433,1.1899,40.5340,0.0000,40.5340,0.8169,0.0000,0.0000,2046,1992,223832,18.50,833.4
57,193.3597,100.0000,0.8138,0.0189,4.1234,0.0876,0.0138,5.2918,0.0013,1,0.0878,8.4868,0.0410,1.3681,41.3911,0.0000,41.3911,0.8226,0.0000,0.0000,2046,1992,223832,18.23,833.4
58,193.3700,10.3582,1.5033,0.0192,3.9318,0.0644,0.0110,41.6833,0.0015,1,0.0918,8.8071,0.0414,1.5380,41.3404,0.0000,41.3404,0.8177,0.0000,0.0000,2046,1992,223832,18.48,833.4
59,193.4173,47.2233,0.7249,0.0184,3.8999,0.0770,0.0130,103.8934,0.0009,1,0.0909,9.2064,0.0429,1.0527,43.0323,0.0000,43.0323,0.8206,0.0000,0.0000,2046,1992,223832,18.52,833.4
60,193.5259,100.0000,0.8599,0.0197,3.7650,0.0838,0.0141,35.9970,0.0009,1,0.0860,8.5249,0.0412,0.9246,42.8532,0.0000,42.8532,0.8179,0.0000,0.0000,2046,1992,223832,18.27,831.5
61,193.5666,40.7481,0.0741,0.0138,4.5319,0.0532,0.0088,14.8993,0.0011,1,0.0816,8.9684,0.0423,1.0783,41.6533,0.0000,41.6533,0.8207,0.0000,0.0000,2046,1992,223832,18.34,831.5
62,193.5862,19.5897,0.1218,0.0155,3.8349,0.0949,0.0124,99.8882,0.0014,1,0.0892,9.6225,0.0419,0.9661,39.1524,0.0000,39.1524,0.8188,0.0000,0.0000,2046,1992,223832,18.53,831.5
63,193.6902,100.0000,34.3189,0.0150,3.0238,0.0576,0.0092,339.7076,0.0013,1,0.0892,9.6225,0.0419,0.9661,39.1524,0.0000,39.1524,0.8188,0.0000,0.0000,2046,1992,223832,18.29,831.5
64,194.0673,100.0000,0.2512,0.0107,2.0023,0.1121,0.0077,3.6253,0.0008,1,0.0944,8.9590,0.0409,1.2728,41.5830,0.0000,41.5830,0.8188,0.0000,0.0000,2046,1992,223832,18.06,831.5
65,194.0734,6.0226,0.8351,0.0127,3.1992,0.0656,0.0112,5.2593,0.0011,1,0.0819,8.4771,0.0412,1.0291,42.4604,0.0000,42.4604,0.8178,0.0000,0.0000,2046,1992,223832,18.30,831.5
66,194.0827,9.3919,0.8258,0.0180,4.3100,0.0529,0.0082,47.0198,0.0012,1,0.0544,9.2939,0.0407,1.2592,43.6284,0.0000,43.6284,0.8562,0.0000,0.0000,2046,1995,224004,18.53,831.5
67,194.1350,52.2436,0.6083,0.0182,4.2036,0.0808,0.0125,49.3097,0.0014,1,0.0833,9.6116,0.0417,1.0004,43.3023,0.0000,43.3023,0.8468,0.0000,0.0000,2046,1995,224004,18.54,831.5
68,194.1892,54.2429,0.6224,0.0174,2.2550,0.0641,0.0112,54.9922,0.0009,1,0.0839,8.9691,0.0430,0.9765,45.3802,0.0000,45.3802,0.8155,0.0000,0.0000,2046,1995,224004,18.54,831.5
69,194.2472,57.9704,0.6060,0.0147,2.5024,0.0637,0.0111,52.7634,0.0009,1,0.0855,9.5621,0.0430,0.9401,44.3755,0.0000,44.3755,0.8238,0.0000,0.0000,2046,1995,224004,18.52,831.5
70,194.3032,55.9702,0.6093,0.0163,2.9916,0.0794,0.0124,52.7067,0.0013,1,0.0882,8.8180,0.0432,0.9313,44.8460,0.0000,44.8460,0.8373,0.0000,0.0000,2046,1995,224004,18.51,831.5
71,194.3596,56.4261,0.6530,0.0176,2.9478,0.0755,0.0135,50.5549,0.0014,1,0.0840,8.8909,0.0437,0.9620,43.4269,0.0000,43.4269,0.8444,0.0000,0.0000,2046,1995,224004,18.50,815.6
72,194.4139,54.2713,0.7708,0.0194,3.0520,0.0749,0.0147,107.0208,0.0014,1,0.0851,9.4705,0.0430,1.0726,42.3638,0.0000,42.3638,0.8397,0.0000,0.0000,2046,1995,224004,18.50,815.6
73,194.5248,100.0000,0.6686,0.0173,2.4399,0.0611,0.0109,3.5997,0.0015,1,0.0837,9.1138,0.0430,0.9090,43.8109,0.0000,43.8109,0.8399,0.0000,0.0000,2046,1995,224004,18.29,815.6
74,194.5316,6.8085,0.0765,0.0204,3.3435,0.0732,0.0139,53.5794,0.0018,1,0.0840,11.0228,0.0447,0.9540,44.9480,0.0000,44.9480,0.8391,0.0000,0.0000,2046,1995,224004,18.50,815.6
75,194.5888,57.1183,0.5208,0.0183,4.6626,0.0812,0.0138,100.4548,0.0011,1,0.1076,9.7989,0.0431,1.2923,42.2036,0.0000,42.2036,0.8467,0.0000,0.0000,2046,1995,224004,18.49,815.6
76,194.6945,100.0000,0.6618,0.0154,3.5671,0.0656,0.0118,6.1853,0.0013,1,0.0828,8.5546,0.0430,0.8990,42.4167,0.0000,42.4167,0.8468,0.0000,0.0000,2046,1995,224004,18.29,815.6
77,194.7050,10.5162,0.6207,0.0148,2.9164,0.0551,0.0095,46.1571,0.0014,1,0.0860,9.7922,0.0447,1.2608,42.4640,0.0000,42.4640,0.8497,0.0000,0.0000,2046,1995,224004,18.48,815.6
78,194.7548,49.8031,0.5861,0.0173,2.2075,0.0640,0.0115,51.3865,0.0015,1,0.0870,9.2557,0.0439,1.0547,42.1884,0.0000,42.1884,0.8564,0.0000,0.0000,2046,1995,224004,18.50,815.6
79,194.8091,54.2818,0.0734,0.0185,2.6732,0.0835,0.0145,54.3110,0.0011,1,0.0918,10.8124,0.0451,1.2871,44.8325,0.0000,44.8325,0.8532,0.0000,0.0000,2046,1995,224004,18.50,815.6
80,194.8663,57.1842,0.0843,0.0195,3.0971,0.0690,0.0102,49.9404,0.0021,1,0.0809,8.6407,0.0433,0.8991,40.7863,0.0000,40.7863,0.8494,0.0000,0.0000,2046,1995,224004,18.48,815.6
81,194.9195,53.2310,0.0956,0.0212,4.5134,0.0618,0.0094,46.1999,0.0013,1,0.0805,8.4767,0.0430,0.8868,40.6913,0.0000,40.6913,0.8503,0.0000,0.0000,2046,1995,224004,18.49,796.6
82,194.9705,50.9108,0.1006,0.0194,4.5647,0.0866,0.0151,47.1251,0.0020,1,0.0807,8.6157,0.0427,0.9462,41.0748,0.0000,41.0748,0.8477,0.0000,0.0000,2046,1995,224004,18.50,796.6
83,195.0224,51.9218,0.0777,0.0192,2.6622,0.0748,0.0110,48.5735,0.0011,1,0.0819,8.8062,0.0434,0.9525,40.9886,0.0000,40.9886,0.8561,0.0000,0.0000,2046,1995,224004,18.51,796.6
84,195.0738,51.4264,0.0663,0.0168,3.0486,0.0757,0.0119,53.2550,0.0012,1,0.0841,8.9385,0.0430,0.9754,43.0212,0.0000,43.0212,0.8542,0.0000,0.0000,2046,1995,224004,18.52,796.6
85,195.1303,56.4832,0.0687,0.0141,2.1772,0.0624,0.0112,50.7522,0.0015,1,0.0837,9.1522,0.0445,1.0561,40.8893,0.0000,40.8893,0.8521,0.0000,0.0000,2046,1995,224004,18.51,796.6
86,195.1834,53.0950,0.0727,0.0166,2.9772,0.0872,0.0129,100.5625,0.0010,1,0.0844,9.0072,0.0435,0.9429,40.6687,0.0000,40.6687,0.8506,0.0000,0.0000,2046,1995,224004,18.51,796.6
87,195.2871,100.0000,0.0604,0.0163,3.1346,0.0691,0.0112,3.9296,0.0015,1,0.0830,8.7412,0.0429,1.0588,41.0588,0.0000,41.0588,0.8477,0.0000,0.0000,2046,1995,224004,18.34,796.6
88,195.2943,7.2303,0.0844,0.0180,2.8200,0.0730,0.0165,46.7473,0.0009,1,0.0829,9.2451,0.0435,1.0693,41.0658,0.0000,41.0658,0.8484,0.0000,0.0000,2046,1995,224004,18.52,796.6
89,195.3441,49.7689,0.0598,0.0173,2.4478,0.0643,0.0116,53.3921,0.0015,1,0.0874,9.0757,0.0436,1.0932,43.4365,0.0000,43.4365,0.8497,0.0000,0.0000,2046,1995,224004,18.53,796.6
90,195.4001,56.0036,0.0754,0.0182,2.9522,0.0809,0.0136,47.6548,0.0015,1,0.0829,9.8161,0.0440,0.9400,40.5640,0.0000,40.5640,0.8443,0.0000,0.0000,2046,1995,224004,18.53,796.6
91,195.4509,50.8074,0.0751,0.0171,2.8040,0.0626,0.0108,99.9652,0.0013,1,0.1013,8.9892,0.0428,1.0071,40.1603,0.0000,40.1603,0.8432,0.0000,0.0000,2046,1995,224004,18.54,795.1
92,195.5539,100.0000,0.0639,0.0162,2.1963,0.0795,0.0135,4.7021,0.0018,1,0.0811,8.1925,0.0434,0.8888,39.7506,0.0000,39.7506,0.8423,0.0000,0.0000,2046,1995,224004,18.37,795.1
93,195.6488,94.8883,0.1483,0.0185,2.4406,0.0625,0.0087,5.9342,0.0013,1,0.0855,8.7099,0.0451,1.0037,54.8195,0.0000,54.8195,0.9801,0.0000,0.0000,2046,1995,224004,18.23,795.1
94,195.6574,8.6213,0.0660,0.0167,3.1434,0.0592,0.0084,26.1677,0.0013,1,0.0828,10.9316,0.0431,1.0628,47.9124,0.0000,47.9124,0.8467,0.0000,0.0000,2046,1995,224004,18.39,795.1
95,195.6868,29.4715,0.0696,0.0176,2.8668,0.0649,0.0123,47.9021,0.0014,1,0.0798,8.7454,0.0441,0.9522,40.5072,0.0000,40.5072,0.8444,0.0000,0.0000,2046,1995,224004,18.48,795.1
96,195.7378,50.9415,0.0727,0.0174,4.3604,0.0840,0.0131,49.7526,0.0013,1,0.0876,9.1355,0.0420,1.0178,41.3647,0.0000,41.3647,0.8453,0.0000,0.0000,2046,1995,224004,18.49,795.1
97,195.7921,54.3100,0.1041,0.0192,4.4611,0.0832,0.0136,54.0259,0.0014,1,0.0836,8.9926,0.0430,1.0788,44.5087,0.0000,44.5087,0.8455,0.0000,0.0000,2046,1995,224004,18.49,795.1
98,195.8508,58.7160,0.0718,0.0172,2.7023,0.0496,0.0087,49.6588,0.0012,1,0.0856,9.2730,0.0446,1.1055,40.8392,0.0000,40.8392,0.8440,0.0000,0.0000,2046,1995,224004,18.47,795.1
99,195.9033,52.5184,0.0634,0.0225,3.6281,0.0513,0.0084,50.3906,0.0016,1,0.0929,9.0125,0.0453,1.1681,42.1943,0.0000,42.1943,0.8425,0.0000,0.0000,2046,1995,224004,18.48,795.1
100,195.9575,54.1753,0.6770,0.0180,2.3401,0.0525,0.0078,45.1414,0.0011,1,0.0845,8.8994,0.0444,1.0670,40.7258,0.0000,40.7258,0.8486,0.0000,0.0000,2046,1995,224004,18.48,786.8
101,196.0058,48.2465,2.0574,0.0174,3.2136,0.0691,0.0109,47.4368,0.0018,1,0.0801,8.8126,0.0441,0.9306,40.8616,0.0000,40.8616,0.8419,0.0000,0.0000,2046,1995,224004,18.50,786.8
102,196.0586,52.8283,0.5230,0.0191,3.3237,0.0873,0.0142,102.7668,0.0010,1,0.0834,9.3795,0.0417,0.9772,41.9709,0.0000,41.9709,0.8381,0.0000,0.0000,2046,1995,224004,18.50,786.8
103,196.1653,100.0000,0.4831,0.0165,3.3124,0.0972,0.0187,4.3693,0.0010,1,0.0822,8.5311,0.0433,1.0148,42.8365,0.0000,42.8365,0.8088,0.0000,0.0000,2046,1998,224632,18.35,786.8
104,196.1737,8.3189,0.4390,0.0169,2.6519,0.0564,0.0150,51.3421,0.0012,1,0.0829,10.3714,0.0449,1.0447,43.9914,0.0000,43.9914,0.8223,0.0000,0.0000,2046,1998,224632,18.50,786.8
105,196.2282,54.5399,0.4289,0.0170,2.2499,0.0618,0.0102,52.4987,0.0013,1,0.0853,9.3539,0.0445,0.9730,43.7368,0.0000,43.7368,0.8236,0.0000,0.0000,2046,1999,224680,18.50,786.8
106,196.2835,55.2841,0.3690,0.0158,2.5917,0.0715,0.0123,51.5695,0.0011,1,0.1064,9.3683,0.0435,0.9914,43.0665,0.0000,43.0665,0.8281,0.0000,0.0000,2046,1999,224680,18.49,786.8
107,196.3381,54.6485,0.4326,0.0166,2.2802,0.0552,0.0120,51.9850,0.0012,1,0.0947,9.6275,0.0447,1.0057,43.4912,0.0000,43.4912,0.8268,0.0000,0.0000,2046,1995,224004,18.49,786.8
108,196.3929,54.7986,0.2076,0.0146,2.2190,0.0594,0.0105,52.4982,0.0013,1,0.0988,9.4382,0.0431,1.0772,43.7724,0.0000,43.7724,0.8269,0.0000,0.0000,2046,1996,224132,18.49,786.8
109,196.4480,55.0308,0.4128,0.0152,1.8744,0.0712,0.0117,56.3870,0.0026,1,0.0929,9.2765,0.0432,1.2677,45.4617,0.0000,45.4617,0.8291,0.0000,0.0000,2046,2003,224856,18.49,786.8
110,196.5068,58.7962,0.4654,0.0183,2.0218,0.0680,0.0124,55.1850,0.0020,1,0.0928,10.4653,0.0437,1.1480,43.8554,0.0000,43.8554,0.8260,0.0000,0.0000,2046,2005,224936,18.47,794.1
111,196.5645,57.7914,0.5445,0.0184,2.9836,0.0632,0.0100,107.2055,0.0017,1,0.0835,8.7220,0.0448,0.9646,44.2420,0.0000,44.2420,0.8302,0.0000,0.0000,2046,2012,225776,18.46,794.1
112,196.6754,100.0000,0.5279,0.0183,2.9330,0.0587,0.0114,5.0647,0.0007,1,0.0803,8.3485,0.0442,0.9626,44.9438,0.0000,44.9438,0.8308,0.0000,0.0000,2046,2011,225736,18.32,794.1
113,196.6840,8.6279,0.5270,0.0197,3.9583,0.0836,0.0129,46.3440,0.0011,1,0.0879,8.7198,0.0451,1.1516,44.7791,0.0000,44.7791,0.8212,0.0000,0.0000,2046,2011,225704,18.46,794.1
114,196.7350,50.9646,0.4903,0.0190,2.3234,0.0587,0.0116,55.9103,0.0010,1,0.0838,8.7471,0.0445,1.1039,47.5035,0.0000,47.5035,0.8140,0.0000,0.0000,2046,1997,223916,18.47,794.1
115,196.7938,58.8344,0.4672,0.0176,3.1538,0.0667,0.0125,57.9137,0.0013,1,0.0821,8.7328,0.0435,0.9234,46.9900,0.0000,46.9900,0.8084,0.0000,0.0000,2046,1997,223916,18.46,794.1
116,196.8555,61.6526,0.6683,0.0229,4.8012,0.1013,0.0134,51.9773,0.0018,1,0.0817,8.5217,0.0437,1.0158,45.7311,0.0000,45.7311,0.8015,0.0000,0.0000,2046,1992,223404,18.43,794.1
117,196.9131,57.6085,0.6049,0.0196,3.1574,0.0793,0.0118,50.6400,0.0011,1,0.0828,8.6177,0.0447,1.0547,45.4572,0.0000,45.4572,0.8113,0.0000,0.0000,2046,1985,222634,18.42,794.1
